f0_,c
(require 'php-format),15
(require 'pacmacs-utils),15
(require 'ox-beamer),15
(require 'ourcomments-util),15
(require 'org-src nil t),15
(require 'org-inlinetask),15
(require 'org-e-publish),15
(require 'my-pre),15
(require 'move-text),15
(require 'mm),15
(require 'mail-extr),15
(require 'linum+),15
(require 'lilypond-mode),15
(require 'keyb),15
(require 'jedi nil t),15
(require 'irc),15
(require 'init-shell),15
(require 'init-ruby),15
(require 'init-modeline),15
(require 'indent-guide),15
(require 'icomplete),15
(require 'icicles-fn),15
(require 'icicles),15
(require 'goto-chg),15
(require 'google-maps-geocode),15
(require 'golint),15
(require 'golden-ratio),15
(require 'git-commit-mode),15
(require 'ghc),15
(require 'fsm),15
(require 'fsharp-mode-util),15
(require 'faceup),15
(require 'exwm-input),15
(require 'exwm-floating),15
(require 'epy-editing),15
(require 'epy-completion),15
(require 'epy-bindings),15
(require 'enriched),15
(require 'emms-info-mp3info),15
(require 'elmo-map),15
(require 'ein-websocket),15
(require 'ein-testing-kernel),15
(require 'ein-scratchsheet),15
(require 'ein-pager),15
(require 'ein-multilang-fontify),15
(require 'ein-kernelinfo),15
(require 'eim-extra),15
(require 'eclimd),15
(require 'company-clang),15
(require 'bootstrap-elpa),15
(require 'bbdb-hooks),15
(require 'basic-ext),15
(require 'autoinsert),15
(require 'zone),14
(require 'xml-parse),14
(require 'wl-highlight),14
(require 'webjump),14
(require 'vm),14
(require 'utop),14
(require 'tramp2-compat),14
(require 'tramp-loaddefs),14
(require 'sx-filter),14
(require 'standoff-test-utils),14
(require 'soundklaus-utils),14
(require 'sly),14
(require 'slime-fontifying-fu),14
(require 'slime-editing-commands),14
(require 'setup-package),14
(require 'rst),14
(require 'roguel-ike/level),14
(require 'rhtml-navigation),14
(require 'require-package),14
"(require 'python (concat epy-install-dir ""extensions/python.el""))",14
(require 'proof-tree),14
(require 'prelude-latex),14
(require 'prelude-coffee),14
(require 'predictive),14
(require 'multi-web-mode),14
(require 'mod-test),14
(require 'less-css-mode),14
(require 'jdee-jdk-manager),14
(require 'jdee-dbs),14
(require 'jde-bug),14
(require 'jabber-autoaway),14
(require 'init-theme),14
(require 'init-magit),14
(require 'icicles-cmd2),14
(require 'icicles-cmd1),14
(require 'holidays),14
"(require 'hoarder-package ""hoarder/package"")",14
(require 'hlinum),14
(require 'helm-ls-git),14
(require 'guix-messages),14
(require 'gitlab-projects),14
(require 'gitlab-issues),14
(require 'generic),14
(require 'fuel-autohelp),14
(require 'evil-nerd-commenter),14
(require 'ert-run),14
(require 'epy-nose),14
(require 'ensime-test),14
(require 'emms-volume-amixer),14
(require 'emms-playlist-sort),14
(require 'emms-mark),14
(require 'em-smart),14
(require 'edts-man),14
(require 'edts-complete),14
(require 'edbi),14
(require 'eclim-project),14
(require 'eclim-maven),14
(require 'eclim-ant),14
(require 'duplicate-thing),14
(require 'drupal/phpcs),14
(require 'dmacro),14
(require 'defuns),14
(require 'defn),14
(require 'csharp-mode),14
(require 'company-elisp),14
(require 'company-c-headers),14
(require 'chess-database),14
(require 'cc-awk),14
(require 'bug-common-functions),14
(require 'bitmap),14
(require 'auto-complete-c-headers),14
(require 'appearance),14
(require 'alchemist-utils),14
(require 'ac-emacs-eclim-source),14
(require 'workgroups2),13
(require 'term+vars),13
(require 'surefire-programming),13
(require 'strings nil t) ;; (no error if not found): read-number (my version),13
(require 'skk-vars),13
(require 'semanticdb-matlab),13
(require 'semantic/wisent/wisent)),13
(require 'semantic/imenu),13
"(require 'sdcdb ""sdcdb"")			; NOT gud!  (yet...)",13
(require 'rnews),13
(require 'pythonic),13
(require 'project-explorer),13
(require 'prelude-clojure),13
(require 'ox-reveal),13
(require 'org-trello-backend),13
(require 'org-loaddefs),13
(require 'org-feed),13
(require 'nvm),13
(require 'metaweblog),13
(require 'loc-changes),13
(require 'invisible),13
(require 'init-web),13
(require 'init-keybindings),13
(require 'icicles-opt),13
(require 'hydra nil t),13
(require 'guix-popup),13
(require 'guix-autoloads),13
(require 'google-translate-default-ui),13
(require 'gnus-bcklg),13
(require 'gist),13
(require 'frame-cmds nil t) ;; (no error if not found): delete-windows-on (my version),13
(require 'flymake-ruby),13
(require 'flymake-jslint),13
(require 'ess-r-syntax),13
(require 'erc-join),13
(require 'ensime-comint-utils),13
(require 'emms-last-played),13
(require 'eim),13
(require 'easy-kill),13
(require 'dired-details+),13
(require 'devices),13
(require 'core-funcs),13
(require 'colle),13
(require 'chinese-pyim-core),13
"(require 'cask (expand-file-name ""cask"" cask-directory))",13
(require 'bug-rpc),13
(require 'async-bytecomp nil t),13
(require 'alchemist-project),13
(require 'al-key),13
(require 'aggressive-indent),13
(require 'yaxception),12
(require 'xcb-xfixes),12
(require 'xcb-randr),12
(require 'with-stack),12
(require 'vline),12
(require 'virtualenvwrapper),12
(require 'tla),12
(require 'surround),12
(require 'soundklaus-track),12
(require 'soundklaus-custom),12
(require 'solarized-theme),12
(require 'slime-mdot-fu),12
(require 'simple-mpc-vars),12
(require 'shm-yank-kill),12
(require 'shm-type),12
(require 'shm-tests),12
(require 'shm-overlays),12
(require 'shm-nav),12
(require 'shm-manipulation),12
(require 'shm-in),12
(require 'shm-evaporate),12
(require 'shm-edit-string),12
(require 'shm-debug),12
(require 'shm-constraint),12
(require 'shm-ast-documentation),12
(require 'semantic/ectags/util),12
(require 'ruby-dev-utils),12
(require 'ruby-block),12
(require 'robe),12
(require 'redo+),12
(require 'recur),12
(require 'protobuf-mode),12
(require 'prelude-haskell),12
(require 'prelude-common-lisp),12
(require 'powerline-themes),12
(require 'powerline-separators),12
(require 'pos-tip nil t),12
(require 'polymode-classes),12
(require 'php-completion),12
(require 'peg),12
(require 'pces-20),12
(require 'paradox-execute),12
(require 'pacmacs-walls),12
(require 'ox-bibtex),12
(require 'org-mu4e),12
(require 'org-habit),12
(require 'org-crypt),12
(require 'org-babel),12
(require 'op-git),12
(require 'notmuch-lib),12
"(require 'newsticker-reader ""newst-reader"")",12
"(require 'newsticker-backend ""newst-backend"")",12
(require 'nav),12
(require 'muse-protocols),12
(require 'muse-book),12
(require 'mu4e-contrib),12
(require 'migemo nil t),12
(require 'midimacs-globals),12
(require 'mhc-summary),12
(require 'mhc-day),12
(require 'mhc-compat),12
(require 'math-symbol-lists),12
(require 'klaralv),12
(require 'kite-global),12
(require 'kde-emacs-compat),12
(require 'jde-run),12
(require 'jde-open-source),12
(require 'jabber-private),12
(require 'jabber-newdisco),12
(require 'init-yaml),12
(require 'init-linum),12
(require 'init-go),12
(require 'init-cc-mode),12
(require 'init-bde-style),12
(require 'idris-commands),12
(require 'hs-lint),12
"(require 'hoarder-source-github ""hoarder/source/github"")",12
"(require 'hoarder-source-git ""hoarder/source/git"")",12
(require 'haskell-str),12
(require 'haskell-mode-autoloads),12
(require 'guix-location),12
(require 'gnus-soup),12
(require 'gnus-audio),12
(require 'gitlab-api),12
(require 'eww),12
(require 'evil-org),12
(require 'evil-mc-vars),12
(require 'ess-dde),12
(require 'erlext),12
(require 'erc-services),12
(require 'epmd),12
(require 'ensime-http),12
(require 'emr-lisp),12
(require 'emms-librefm-scrobbler),12
(require 'elmo-spam),12
(require 'elm-compile),12
(require 'elfeed-show),12
(require 'el-get-http-tar),12
(require 'el-expectations),12
(require 'ein-traceback),12
(require 'edn),12
(require 'edb),12
(require 'dw-functionals),12
(require 'dvc-unified),12
(require 'distel-ie),12
(require 'derl),12
(require 'cygwin-mount),12
(require 'company-keywords),12
(require 'company-emacs-eclim),12
(require 'cogre/srecode),12
(require 'cogre/mode),12
(require 'cogre/dot-mode),12
(require 'chess-var),12
(require 'boon-core),12
(require 'axiom-base),12
(require 'avltree),12
(require 'anything-obsolete),12
(require 'ac-nrepl),12
(require 'xcb-render),11
(require 'xcb-ewmh),11
(require 'wisent-php-tags-wy),11
(require 'w3-parse),11
(require 'w3-hot),11
(require 'vm-message),11
(require 'tree),11
(require 'sx-question-list),11
(require 'sublimity-scroll),11
(require 'standoff-api),11
(require 'smooth-scroll),11
(require 'smart-compile),11
(require 'slime-references),11
(require 'setnu),11
(require 'project-persist),11
(require 'persp-projectile),11
(require 'patmatch),11
(require 'package nil t),11
(require 'org-trello-deferred),11
(require 'org-publish),11
(require 'nlinum),11
(require 'mode-info),11
(require 'mime-play),11
(require 'mime-edit),11
(require 'mhc-misc),11
(require 'key-bindings),11
(require 'jde-which-method),11
(require 'jde-project-file),11
(require 'jde-import),11
(require 'jde-help),11
(require 'jde-dbs),11
(require 'jabber-socks5),11
(require 'jabber-ft-server),11
(require 'jabber-ft-client),11
(require 'init-sh),11
(require 'init-neotree),11
(require 'init-flymake),11
(require 'init-evil-leader),11
(require 'init-basic),11
(require 'idris-info),11
(require 'icicles-fn)                   ; (This is required anyway by `icicles-cmd1.el'.),11
(require 'icicles-face),11
(require 'icicles-cmd1)                 ; (This is required anyway by `icicles-cmd2.el'.),11
(require 'helm-org),11
(require 'grizzl),11
(require 'google-translate),11
(require 'google-this),11
(require 'gnuserv),11
(require 'geben-common),11
(require 'fold-dwim),11
(require 'flymake-php),11
(require 'flymake-cursor),11
"(require 'find-func)			;for find-library(-suffixes)",11
(require 'find-cmd),11
(require 'fakir),11
(require 'es-lib-total-line),11
(require 'erc-track),11
(require 'ensime-company),11
(require 'elm-format),11
(require 'elixir-mode),11
(require 'el-get-recipes),11
(require 'edts-mode),11
(require 'document-vars),11
(require 'deft),11
(require 'db),11
(require 'company-ycmd),11
(require 'company nil t),11
(require 'cogre/semantic),11
(require 'cl-seq),11
(require 'character-fold),11
(require 'bookmark+),11
(require 'alchemist-server),11
(require 'xt-mouse),10
(require 'xcb-keysyms),10
(require 'wrap-region),10
(require 'workgroups-pickel),10
(require 'wisi),10
(require 'w3-script),10
(require 'vm-vars),10
(require 'vm-macro),10
(require 'vlf-base),10
(require 'vcard),10
(require 'tsm),10
(require 'template),10
(require 'tellib),10
(require 'sx-button),10
(require 'stack-words),10
(require 'speechd-common),10
(require 'soundklaus-user),10
(require 'soundklaus-request),10
(require 'slime-indentation),10
(require 'slime-banner),10
(require 'shell-command),10
(require 'shampoo-state),10
(require 'setup-magit),10
(require 'setup-helm-gtags),10
(require 'setup-editing),10
(require 'rtags-ac),10
(require 'rich-minority),10
(require 'rbenv),10
(require 'rails-ruby),10
(require 'rails-project),10
(require 'qp),10
(require 'puppet-mode),10
(require 'projectIDE-header),10
(require 'prelude-scala),10
(require 'prelude-go),10
(require 'powerline-evil),10
(require 'plugin),10
(require 'picolisp),10
(require 'php-utils),10
(require 'php-extras),10
(require 'php-edit),10
(require 'php-const),10
(require 'peepopen),10
(require 'pager),10
(require 'pacmacs-board),10
(require 'pacmacs-anim),10
(require 'package-f),10
(require 'package-d),10
(require 'ox-org),10
(require 'org-trello),10
(require 'org-e-latex),10
(require 'org-attach),10
(require 'mustache-mode),10
(require 'muse-texinfo),10
(require 'mmgeneric),10
(require 'mhc-process),10
"(require 'mesh-core ""lib/mesh-core"")",10
(require 'maxima-font-lock),10
(require 'matlab-load),10
(require 'list-utils nil t),10
(require 'list-ext),10
(require 'lisp-mode nil t),10
(require 'ledger-check),10
(require 'lean-latex-packages),10
(require 'keymaps),10
(require 'keyfreq),10
(require 'jdee-font-lock),10
(require 'jde-plugins),10
(require 'jde-jdb),10
(require 'jde-javadoc-gen),10
(require 'jde-java-grammar),10
(require 'jde-java-font-lock),10
(require 'jde-custom),10
(require 'jde-annotations),10
(require 'ipython),10
(require 'init-package),10
(require 'init-latex),10
(require 'init-interface),10
(require 'init-golang),10
(require 'init-gnus),10
(require 'init-environment),10
(require 'image-file),10
(require 'idris-mode),10
(require 'howm-cl),10
(require 'guix-ui-package),10
(require 'guix-ui-generation),10
(require 'gtags nil t),10
(require 'graphviz-dot-mode),10
(require 'go-api),10
(require 'gitlab-session),10
(require 'git-blame),10
(require 'geben-session),10
(require 'furl),10
(require 'fsharp-mode),10
(require 'folio-base),10
(require 'folio-atoms),10
(require 'flyspell-lazy),10
(require 'flycheck-ycmd),10
(require 'find-func nil t),10
(require 'find-file-in-project),10
(require 'finalize),10
(require 'files-ext),10
(require 'eword-decode),10
(require 'evil-escape),10
(require 'ert-expectations),10
(require 'ert-async),10
(require 'error-tip),10
(require 'em-glob),10
(require 'elm-tags),10
(require 'elisp-mode nil t),10
(require 'eldoc-eval),10
(require 'ein-testing),10
(require 'ein-ipdb),10
(require 'editorconfig-fnmatch),10
(require 'editorconfig-core-handle),10
(require 'edit-server),10
(require 'eclim-java-run),10
(require 'eassist),10
(require 'drupal-mode),10
(require 'doxymacs),10
(require 'core-ext),10
(require 'context-coloring),10
(require 'config),10
(require 'completion),10
(require 'cogre/periodic),10
(require 'cm-mode),10
(require 'cider-scratch),10
(require 'ccl),10
(require 'caml-types nil 'noerror),10
(require 'cal-julian),10
(require 'cal-china),10
(require 'bee-mode),10
(require 'bash-completion),10
(require 'auto-complete-clang-async),10
(require 'android-common),10
(require 'align-cljlet),10
(require 'ahei-misc),10
(require 'adapter),10
(require 'ac-cider),10
(require 'ztree-util),9
(require 'yasnippet-bundle),9
(require 'xcb-cursor),9
(require 'writegood-mode),9
(require 'winsav nil t),9
(require 'window-purpose-utils),9
(require 'window-purpose-core),9
(require 'window-purpose-configuration),9
(require 'web-completion-data),9
(require 'w32-regdat nil t),9
(require 'w3-keymap),9
(require 'vm-summary),9
(require 'vm-misc),9
(require 'unbound),9
(require 'ttn-macros),9
(require 'sx-site),9
(require 'sx-request),9
(require 'standoff-dummy),9
(require 'srv),9
(require 'spaceline),9
"(require 'slime-repl-tests ""test/slime-repl-tests"")",9
(require 'slime-fuzzy),9
(require 'slack-room),9
(require 'simple-mpc-mode),9
(require 'signal),9
(require 'shell-split-string),9
(require 'shell-pop),9
(require 'setup-projectile),9
(require 'setup-org),9
(require 'semantic/bovine/c),9
(require 'ruby-tools),9
(require 'ruby-end),9
(require 'rsense),9
(require 'recentf-ext),9
(require 'rails-ui),9
(require 'rails-core),9
(require 'python-mode-test),9
(require 'project-mode),9
(require 'project-local-variables),9
(require 'predictive-latex),9
(require 'phone),9
(require 'pde-vars),9
(require 'pcmpl-rake),9
(require 'pam-copyright),9
(require 'owp-vars),9
(require 'ots-util),9
(require 'org-export-generic),9
(require 'ohai-project),9
(require 'ohai-editing),9
(require 'ocodo-smt-overrides),9
(require 'notmuch),9
(require 'mule nil t),9
(require 'mime-setup),9
(require 'migemo),9
(require 'merlin-compat),9
(require 'merlin-cap),9
(require 'maxima),9
(require 'malabar-project),9
(require 'malabar-import),9
(require 'lui-irc-colors),9
(require 'log-view),9
(require 'lcs),9
(require 'kambi-utils),9
(require 'julia-mode),9
(require 'jdee-wiz),9
(require 'jdee-parse-expr),9
(require 'jdee-jdb),9
(require 'jdee-javadoc-gen),9
(require 'jdee-java-grammar),9
(require 'jdee-imenu),9
(require 'jdee-custom),9
(require 'jdee-bug),9
(require 'jdee-annotations),9
(require 'jde-bsh),9
(require 'javadoc-lookup),9
(require 'jabber-vcard-avatars),9
(require 'jabber-time),9
(require 'jabber-sasl),9
(require 'jabber-ft-common),9
(require 'ipa nil t),9
(require 'init-programming),9
(require 'init-maxframe),9
(require 'init-flyspell),9
(require 'init-cpp),9
(require 'impatient-mode),9
(require 'imaxima-autoconf-variables),9
(require 'imaxima),9
(require 'ilisp),9
(require 'idris-events),9
(require 'html-quote),9
"(require 'hoarder-util ""hoarder/util"")",9
(require 'hmac-def),9
(require 'hl-line+),9
(require 'highlight-current-line),9
(require 'helm-misc),9
(require 'helm-dash),9
(require 'haskell-doc),9
(require 'git-messenger),9
(require 'git nil t),9
(require 'gcl),9
(require 'fupd),9
(require 'function-args),9
(require 'fossicker),9
(require 'flycheck-tip),9
(require 'filladapt),9
(require 'faxutil),9
(require 'exwm-workspace),9
(require 'exwm-manage),9
(require 'exwm-layout),9
(require 'evil-mc-region),9
(require 'evil-mc-cursor-state),9
(require 'evil-magit),9
(require 'emr-elisp),9
(require 'elisp-slime-nav),9
(require 'eieio nil t),9
(require 'document),9
(require 'dired-single),9
(require 'definitions),9
(require 'core-spacemacs-buffer),9
(require 'coq-smie-lexer nil 'noerror),9
(require 'company-auctex),9
(require 'color nil t),9
(require 'clang-format),9
(require 'chess-uci),9
(require 'canlock),9
(require 'bintree),9
(require 'bbdb-loaddefs),9
(require 'battery),9
(require 'auto-complete+),9
(require 'ahei-face),9
(require 'achievements-functions),9
(require 'zoom-frm),8
(require 'xml-query-tests),8
(require 'x-color),8
(require 'window-purpose),8
(require 'weibo-timeline),8
(require 'web-beautify),8
(require 'w3-toolbar),8
(require 'w3-print),8
(require 'w3-emulate),8
(require 'w3-display),8
(require 'vm-motion),8
(require 'vc-rational-synergy-command-to-string),8
(require 'urweb-move),8
(require 'urweb-compat),8
(require 'udev-ecb),8
(require 'tla-autoconf),8
(require 'tidy-xhtml),8
(require 'sx-question-mode),8
(require 'sumibi),8
(require 'sublimity-map),8
(require 'standoff-xml),8
(require 'sparql-mode),8
(require 'spacemacs-common),8
(require 'soundklaus-resource),8
(require 'soundklaus-playlist),8
(require 'soundklaus-examples),8
(require 'sml-mode),8
(require 'skk-autoloads),8
(require 'skk),8
(require 'setup-yasnippet),8
(require 'sane-defaults),8
(require 'ruby-electric),8
(require 'ruby-dev-repl),8
(require 'ruby-dev-eval),8
(require 'ruby-dev-doc),8
(require 'roguel-ike/stats/effect),8
(require 'roguel-ike/level/cell),8
(require 'roguel-ike/graphics/faces),8
(require 'roguel-ike-lib/level),8
(require 'rmail-loaddefs),8
(require 'restclient),8
(require 'request-testing),8
(require 'reftex-loaddefs),8
(require 'refactorerl-custom-undo-mode),8
(require 'redo),8
(require 'racket-util),8
(require 'racket-repl),8
(require 'pvs-utils),8
(require 'psgml-api),8
(require 'ps-print-loaddefs),8
(require 'proof-compat),8
(require 'preview),8
(require 'pretty-lambdada),8
(require 'prelude-org),8
(require 'preamble),8
(require 'poly-markdown),8
(require 'pod),8
(require 'planner-autoloads),8
(require 'pacmacs-vector),8
(require 'packages),8
(require 'owp-config),8
(require 'org2blog-autoloads),8
(require 'org-trello-proxy),8
(require 'org-trello-input),8
(require 'org-trello-controller),8
(require 'org-test-ob-consts),8
(require 'org-e-ascii),8
(require 'omnisharp-utils),8
(require 'omnisharp-server-actions),8
(require 'omnisharp-auto-complete-actions),8
(require 'ohai-json),8
(require 'obarray-fns nil t),8
(require 'nu),8
(require 'navi2ch-vars),8
(require 'navi2ch-net),8
(require 'muse-wiki),8
(require 'muse-autoloads),8
(require 'multi-mode),8
(require 'moe-light-theme),8
(require 'moe-dark-theme),8
(require 'mlinks nil t),8
(require 'mic-paren),8
(require 'mhc-record),8
(require 'mhc-logic),8
(require 'mhc-file),8
(require 'mhc-face),8
(require 'mhc-draft),8
(require 'mhc),8
(require 'malabar-misc),8
(require 'malabar-groovy),8
(require 'make-tls-process),8
(require 'lookup-types),8
(require 'lean-mmm-lua),8
(require 'json-rpc),8
(require 'js2-old-indent),8
(require 'jmacs-workgroups),8
(require 'jmacs-base),8
(require 'jde-parse-expr),8
(require 'jabber-wmii),8
(require 'jabber-truncate),8
(require 'jabber-ourversion),8
(require 'jabber-osd),8
(require 'jabber-muc-nick-completion),8
(require 'jabber-chatstates),8
(require 'jabber-awesome),8
(require 'init-xml),8
(require 'init-ui),8
(require 'init-sr-speedbar),8
(require 'init-scheme),8
(require 'init-rtags),8
(require 'init-gtags),8
(require 'init-eshell),8
(require 'init-erc),8
(require 'init-c),8
(require 'init-ace-jump-mode),8
(require 'images),8
(require 'iimage),8
(require 'idris-tree-info),8
(require 'idris-simple-indent),8
(require 'idris-hole-list),8
(require 'ibuffer-loaddefs),8
(require 'htmlfontify-loaddefs),8
(require 'html-imenu),8
(require 'howm-vars),8
(require 'haskell-ghc-support),8
(require 'haskell-c2hs),8
(require 'google-translate-core),8
(require 'google-maps),8
(require 'go-util),8
(require 'gnus-load),8
(require 'geben-dbgp),8
(require 'gdiff-setup),8
(require 'flymake-phpcs),8
(require 'flymake-coffee),8
(require 'flycheck-pos-tip),8
(require 'evil-search-highlight-persist),8
(require 'evil-paredit),8
(require 'ess-generics),8
(require 'ert-ui),8
(require 'emms-auto),8
(require 'emacspeak-speak),8
(require 'emacspeak),8
(require 'emacs-wiki-regexps),8
(require 'em-banner),8
(require 'elmo-signal),8
(require 'elmo-net),8
(require 'elmo-date),8
(require 'elm-repl),8
(require 'elm-preview),8
(require 'elfeed-lib-tests),8
(require 'elfeed-db-tests),8
(require 'el-get-http-zip),8
(require 'el-get-byte-compile),8
(require 'eieio-loaddefs),8
(require 'eide-config),8
(require 'edts-debug-list-processes-mode),8
(require 'edts-debug-list-interpreted-mode),8
(require 'edts-debug-list-breakpoint-mode),8
(require 'ede/linux),8
(require 'eclim-problems),8
(require 'dvc-version),8
(require 'dvc-state),8
(require 'dvc-fileinfo),8
(require 'dvc-buffers),8
(require 'dvc-annotate),8
(require 'doom),8
(require 'docker-process),8
(require 'dll),8
(require 'discover),8
(require 'dired-loaddefs nil t),8
(require 'dbg-filter),8
(require 'dash-at-point),8
(require 'crypt++),8
(require 'core-configuration-layer),8
(require 'color-theme-zenburn),8
(require 'cocci-grep),8
(require 'circe-compat),8
(require 'cee-config),8
(require 'cee-autoload),8
(require 'calc-units-update),8
(require 'bzr-core),8
(require 'bzr),8
(require 'boon-main),8
(require 'bm),8
(require 'bioperl-skel),8
(require 'bioperl-init),8
(require 'biblio-core),8
(require 'bbdb-site),8
(require 'bbdb-gui),8
(require 'auto-install),8
(require 'alchemist-report),8
(require 'ac-math),8
(require 'yasnippet-settings),7
(require 'yasnippet nil t),7
(require 'yari),7
(require 'wl-folder),7
(require 'tramp2-util),7
(require 'tramp2-ops),7
(require 'tramp2-hack),7
(require 'tramp2-enc),7
(require 'tramp2-cache),7
(require 'theme),7
(require 'textile-mode),7
(require 'tex-mode),7
(require 'terraform-mode),7
(require 'sym-comp),7
(require 'sx-interaction),7
(require 'string),7
(require 'standoff-mode),7
(require 'spaceline-segments),7
(require 'smart-tabs-mode),7
(require 'slime-scratch),7
(require 'slime-highlight-edits),7
(require 'slime-fancy-inspector),7
(require 'slack-message),7
(require 'shampoo-utils),7
(require 'setup-company),7
(require 'setup-cedet),7
(require 'sdicf),7
(require 'sdic),7
(require 'sb-lump),7
(require 'racket-common),7
(require 'pysmell),7
(require 'pulse nil t),7
(require 'prelude-evil),7
(require 'prelude-erlang),7
(require 'polymode-core),7
(require 'planner-timeclock),7
(require 'planner-publish),7
(require 'password-store),7
(require 'pam-vars),7
(require 'page-break-lines),7
(require 'oz-server),7
(require 'oz),7
(require 'org-trello-date),7
(require 'org-page),7
(require 'org-latex),7
(require 'org-e-html),7
(require 'org-contacts),7
(require 'objj-mode),7
(require 'ob-clojure),7
(require 'muse-import-xml),7
(require 'multi),7
(require 'monad-parse),7
(require 'modal-functions),7
(require 'mime-parse),7
(require 'markdown-toc),7
(require 'lmenu),7
(require 'lispy-vars),7
(require 'lentic),7
(require 'langtool),7
(require 'keybindings),7
(require 'jdee-plugins),7
(require 'init-tramp),7
(require 'init-rust),7
(require 'init-rtags-helm),7
(require 'init-progress-bar),7
(require 'init-prog-mode),7
(require 'init-powerline),7
(require 'init-local),7
(require 'init-keys),7
(require 'init-gdb),7
(require 'inf-fsharp-mode),7
(require 'ibus),7
(require 'hungry-delete),7
(require 'hashcash),7
(require 'gtags-aliases),7
(require 'graphene-helper-functions),7
(require 'google-emacs-utilities),7
(require 'god-kmacro),7
(require 'go-eldoc),7
(require 'gitignore-mode),7
(require 'git-status),7
(require 'gentext-models),7
(require 'fuzzy),7
(require 'fsharp-doc),7
(require 'framemove),7
(require 'foobar/xxx),7
(require 'foobar),7
(require 'flymake-python-pyflakes),7
(require 'flycheck-color-mode-line),7
(require 'evil-exchange),7
(require 'es-lib-text-navigate),7
(require 'es-lib-lexical),7
(require 'es-lib-core-functions),7
(require 'es-lib-buffer-local-set-key),7
(require 'ergoemacs-mode),7
(require 'erfi-srfi-1),7
(require 'erc-image),7
(require 'el-mock nil t),7
(require 'edts-shell),7
(require 'edts-doc),7
(require 'edts-complete-variable-source),7
(require 'edts-complete-record-source),7
(require 'edts-complete-module-source),7
(require 'edts-complete-macro-source),7
(require 'edts-complete-local-function-source),7
(require 'edts-complete-keyword-source),7
(require 'edts-complete-imported-function-source),7
(require 'edts-complete-exported-function-source),7
(require 'edts-complete-built-in-function-source),7
(require 'ecomplete),7
(require 'dired-lis),7
(require 'dev-base-settings),7
(require 'delp),7
(require 'custom-defuns),7
(require 'cpp),7
(require 'confluence-edit),7
(require 'company-go),7
(require 'company-css),7
(require 'commander),7
(require 'color-theme-monokai),7
(require 'color-theme-material),7
(require 'color-theme-ahei),7
(require 'cl-lib nil 'noerror),7
(require 'chess-random),7
(require 'char-fold),7
(require 'calc-store),7
(require 'cal-china-x),7
(require 'bind-map),7
(require 'behave),7
(require 'beacon),7
(require 'auto-complete-settings),7
(require 'auto-complete-auctex),7
(require 'auto-compile),7
(require 'ac-html),7
(require 'ztree-view),6
(require 'z80-memory),6
(require 'yatexlib),6
"(require 'yasnippet (concat epy-install-dir ""extensions/yasnippet/yasnippet""))",6
(require 'xinix-lisp),6
(require 'x-lib),6
(require 'windsize),6
(require 'window-purpose-switch),6
(require 'weechat-core),6
(require 'webmaster-macros),6
(require 'web-server),6
(require 'vimpulse),6
(require 'utilities),6
(require 'ude-compile),6
(require 'ude-balloon),6
(require 'typescript),6
(require 'travis-version),6
(require 'travis-ui),6
(require 'travis-repos),6
(require 'travis-builds),6
(require 'transpose-frame),6
(require 'todochiku),6
(require 'timeclock),6
(require 'thingatpt ),6
(require 'test-common),6
(require 'tc-sysdep),6
(require 'tc-pre),6
(require 'tc-help),6
(require 'tNFA),6
(require 'sx-tag),6
(require 'svg),6
(require 'srecode/document),6
(require 'speechd-out),6
(require 'soundklaus),6
(require 'smart-tab),6
(require 'skk-comp),6
(require 'simple-mpc-utils),6
(require 'shm-stack),6
(require 'shm-languages),6
(require 'sformat),6
(require 'setup-packages),6
(require 'semi-def),6
(require 'semantic/wisent/javascript-wy),6
(require 'semantic/wisent/java-wy),6
(require 'semantic/wisent/java-tags-wy),6
(require 'semantic/wisent/grammar-macros),6
(require 'semantic/wisent/calc-wy),6
(require 'semantic/wisent/c.wy),6
(require 'semantic/tag-file),6
(require 'semantic/symref/cscope),6
(require 'semantic/ectags/lang),6
(require 'semantic/db-javap),6
(require 'semantic/bovine/skeleton-by),6
(require 'semantic/bovine/grammar-macros),6
(require 'semantic/bovine/f90-by),6
(require 'semantic/bovine/erlang-by),6
(require 'semantic/adebug),6
(require 'scala-mode-map),6
(require 'sage-shell-mode),6
(require 's nil t),6
(require 'rudel-util),6
(require 'rudel-backend),6
(require 'rudel),6
(require 'roguel-ike/race),6
(require 'roguel-ike/level/cell/object),6
(require 'roguel-ike/level/cell/ground),6
(require 'roguel-ike/interactive-object/door),6
(require 'roguel-ike/hero-data/manager),6
(require 'roguel-ike/graphics/widget/entity),6
(require 'roguel-ike/game-screen/fight),6
(require 'roguel-ike/buffer-manager),6
(require 'roguel-ike-lib/math),6
(require 'roguel-ike-lib/cell),6
(require 'rfc1843),6
(require 'req-package),6
(require 'rainbow-identifiers),6
(require 'racket-mode),6
(require 'racket-keywords-and-builtins),6
(require 'racket-custom),6
(require 'python-django),6
(require 'projmake-log),6
(require 'projectile-rails),6
(require 'projectIDE-debug),6
(require 'pretty-mode),6
(require 'prelude-mediawiki),6
(require 'powerline-evil-themes),6
(require 'post-command-hook),6
(require 'plstore),6
(require 'paxedit),6
(require 'parsebib),6
(require 'parenface),6
(require 'paradox-menu),6
(require 'paradox-commit-list),6
(require 'pam-util),6
(require 'ourcomments-widgets),6
(require 'org-webpage),6
(require 'org-mouse),6
